"Overall
Query no.",Query no.,Name of Company,Description of the query,Response from NPCIL
11,11,M/s ACME Solar Holdings Ltd.,"Kindly incorporate provisions regarding SLAs in getting the site approvals (regulatory and suitability checks), construction completion, PLFs and decommissioning period. LDs may be envisaged on the party taking responsibilities (in this case Licensee), in case of delays or SLAs not being met.",Micro detailing for the relevant agreements can be mutually agreed upon at the appropriate juncture within the existing regulatory framework.
12,12,M/s ACME Solar Holdings Ltd.,"Kindly advocate with the government to include Nuclear energy purchase obligations
similar to Renewable purchase obligations, so as to further drive the nuclear energy capacity addition .","This is within domain of MoP, may be pursued with them."
13,13,M/s ACME Solar Holdings Ltd.,"Instead of self-consumption, can energy utilization be made more flexible, allowing options like merchant sale, short-term sale, or long-term sale through Power Purchase
Agreements (PPAs)?",Already addressed in RFP.
14,14,M/s ACME Solar Holdings Ltd.,"Apart from O&M expenses of ₹47 lakh/MWe, what are the other associated costs, such as water usage and fuel? What are the estimated costs for these raw materials?",Relevant information will be shared on signing of NDA.
15,15,M/s ACME Solar Holdings Ltd.,We understand that any off taker may also be roped in and power can be supplied in a captive construct (i.e. 26% equity being infused by the end consumer) in order to qualify this as a captive power plant so that there is no incidence of CSS and ASS and commercially its a viable proposition. This electricity demand essentially would come from our consumer and may not be a in-house demand.,Ref:Annexure-3 and corrigendum-IV of RFP for USER qualification
16,16,M/s ACME Solar Holdings Ltd.,"We request that since USER is bearing the costs of construction, contingent capex and
all operational expenses, and NPCIL is acting solely as the operator, with compensation for its role, USER should be allowed to determine the tariff independently, without interference from the DAE.
Additionally, USER should be allowed to sell the power to power exchange, REIAs and other C&I customers as per the tariff determined by the USER or mutually agreed between the parties.
A suitable amendment may be carried in Atomic Energy act, 1962.
This would provide developers with greater flexibility to optimize their commercial strategies based on market conditions, while ensuring guaranteed revenues for NPCIL, which are fixed on a per-unit basis.",RFP terms & conditions shall prevail.
17,17,M/s ACME Solar Holdings Ltd.,Kindly confirm whether delay in land acquisition would lead to any penalty on USER?,Land acquistion is in scope of USER.
18,18,M/s ACME Solar Holdings Ltd.,"During pre-project stage in Agreement-1, kindly share the scenarios in which NPCIL may
require indemnification from the USER?",RFP terms and Conditions shall prevail.
19,19,M/s ACME Solar Holdings Ltd.,"Please provide list of the statutory agencies and also the list of approvals, for which USER would approach. This would be important as it will help us understand the overall
approvals landscape","NPCIL, along with user would approach for clearances from statutory agencies."
20,20,M/s ACME Solar Holdings Ltd.,"There are no clauses indemnifying USER if any unforeseen nuclear disaster happens during commissioning, O&M and decommissioning by NPCIL (radiation leakage, etc.) and liability which exceeds the claim available in the insurance policy. Please consider incorporating suitable provisions.
Please share the insurance amount (i.e. maximum liability) and its premium as well.",Depnds upon the terms of insurance and policy avaialble in market.
21,21,M/s ACME Solar Holdings Ltd.,"What would be total sum insured in the insurance policy and what would be insurance
charges payable in instalments on yearly basis by USER?",Depnds upon the terms of insurance and policy avaialble in market.
22,22,M/s ACME Solar Holdings Ltd.,"Total construction timeline, is around 51-60 months from commencement of excavation (Excavation and Plain cement concrete (PCC) to take 9-12 months and other 42-48 months after First pour of concrete (FPC)). While in the summary it has been mentioned that construction timeline is 42-48 months only. Please clarify.",42-48 months is counted from start of First pour of Concrete (FPC) and prior to FPC excavation and PCC timeline is mentioned as 9-12 months.
23,23,M/s ACME Solar Holdings Ltd.,What would be FPC timelines from bid result/declaration and which building construction would mark the FPC milestone?,"Start of Concreting of Reactor building of the first unit of twin unit NPP is called as First Pour of Concrete (FPC) Milestone.
The timeline of FPC from the bid result will depend upon various factors like: Land acquisition/selection, MoEFCC and other statutory clearances, detailed site investigations, Preparation of site Evaluation report and siting clearance by AERB, Excavation clearnce etc."
24,24,M/s ACME Solar Holdings Ltd.,"Kindly confirm whether there would be any online submission of response or bidder is
required to submit the complete response in offline mode only?","Refer ""INSTRUCTION SHEET"" of RFP"
25,25,M/s ACME Solar Holdings Ltd.,"Minimum net worth should be a function of bid capacity and should be in range of 1 Cr/MW as in other REIA renewable bids.
Moreover, Please also allow bidders to demonstrate the  Net Worth as on 7 days prior to the date of the bid submission for qualifying the criteria, as an optional additional criteria.
Additionally, please  consider the credit ratings acceptable as BBB (investment grade).",RFP terms & conditions shall prevail.
26,26,M/s ACME Solar Holdings Ltd.,"Please mention what would be the max bid out capacity under this RFP and what would be the maximum capacity awarded to a single USER. Pls also clarify if all the bidders would be selected subject they meeting the QRs or there would be some priority order
for selection of the bidders",Refer Annexure-3 and Corrigendum-IV of RFP
27,27,M/s ACME Solar Holdings Ltd.,"Kindly confirm if we can import or consider technology transfer from countries which shares a land border with India for e.g. China; provided manufacturer or vendor is registered with competent authority.
Kindly provide the empanelled/registered vendors list for these  projects.",Import or technology transfer from countries which share land border with India for e.g. China is subject to government of India regulations. Vendor list will be provided to qualified USERs at appropriate stage.
28,28,M/s ACME Solar Holdings Ltd.,"Kindly provide Power of Attorney format and also confirm, if BR is required to be
enclosed with PoA.",USER to submit in legally valid format as per company policy
29,29,M/s ACME Solar Holdings Ltd.,"No provisions of Change in Law. There should be relief from any policy and regulatory
change after the bid submission which puts additional financial/regulatory/policy burden on the USER.",RFP terms & conditions shall prevail.
30,30,M/s ACME Solar Holdings Ltd.,"Please confirm whether early/part/full commissioning is allowed and what would be conditions pertaining to this in terms of tariff, operation, capacity and any other conditions. This may be pertinent, in case NPCIL decides to act as an intermediary and
supply power to Discoms / other consumers",RFP terms & conditions shall prevail.
31,31,M/s ACME Solar Holdings Ltd.,"Please provide estimated cost for NPP drawings, which would be provided by the
NPCIL.                                                    ",Design and construction drawings is in scope of NPCIL
32,32,M/s ACME Solar Holdings Ltd.,Kindly provide an estimation of the annual cost implications for CISF security.,Not relevant to RFP.
33,33,M/s ACME Solar Holdings Ltd.,Is it necessary for USER to buy the land before submission for BID,Refer Annexure-3 point no. iii of RFP
34,34,M/s ACME Solar Holdings Ltd.,"it is asked to submit the preliminary site evaluation study report along with BID,  does it
required any third party certification  ?","Refer RFP checklist for information on site along with submission of
proposal."
35,35,M/s ACME Solar Holdings Ltd.,"O&M expenses is 47.47 lakh /MWe / annum for year2017-18 & annual escalation of 6% per annum for every subsequent year.
So in year 2026-2027 this O&M expenses will be 80.2 lakhs/MWe. Is this correct
understanding, please clarify","Yes, the Understanding is correct."
36,36,M/s ACME Solar Holdings Ltd.,"Qualification Requirement:
NPCIL to also provide similar selection criteria / guidelines and what will be expected next after qualifying in the QR stage ?",RFP is self explanatory regarding stages after submission of proposal by USER
37,37,M/s ACME Solar Holdings Ltd.,"""USER can propose Projects in multiple of twin BSR units"" :
Could NPCIL confirm how many such twin BSR units are planned  at this moment under this RFP?",USER can propose multiple project sites in different states without any restriction on number of sites or BSR units.
38,38,M/s ACME Solar Holdings Ltd.,"In case the USER is unsuccessful, this Integrity Pact shall expire after six months from the date of signing of the first award of Project to successful USER(s)
in this case, the USER who is unsuccessful will get his EMD money back only after 6 months from the date if signing of the first award of project to successful USER, please clarify",RFP Terms and Conditions shall prevail.
39,39,M/s ACME Solar Holdings Ltd.,What is the approximate cost of manpower required for security at a 220 MWe plant?,Relevant information will be shared on signing of NDA.
40,40,M/s ACME Solar Holdings Ltd.,"For projects that are more than 10 years old, what is the current execution cost for a
220 MW BSR plant?","Relevant information will be shared on signing of NDA. Current cost
for BSR to be estimated by USER."
41,41,M/s ACME Solar Holdings Ltd.,Can the operational life of the plant be estimated at 60 years with proper maintenance and upgrades?,"As per RFP:-""Operational design life of reactor is about 40 years. However, with improved manufacturing, surveillance and maintenance practices, the operating can be extended beyond 40 years  based on life re-assessment and regulatory approvals."
42,42,M/s ACME Solar Holdings Ltd.,"How many days per year is the plant expected to remain operational, accounting for maintenance and shutdowns?","As per RFP:-
""Capital unit outage (Biennial shutdown) of nuclear power plant is taken for about 35-40 days to carry out regulatory surveillance, overhauling of critical equipment, In-service inspection of Primary Heat Transport and other systems, ageing management, safety upgrades, and permanent modifications etc"""
43,43,M/s ACME Solar Holdings Ltd.,"During maintenance shutdowns, is a diesel generator (DG) used? What is the estimated annual operational cost of using the DG?","During maintenance shutdowns, supply is taken from Grid. DGs are
for Emergency condition only when power onsite and offsite sources are not available."
44,44,M/s ACME Solar Holdings Ltd.,"Along with generating 440 MWe of power, is it possible to provide steam for industrial
or other uses?",RFP terms & conditions shall prevail.
45,45,M/s ACME Solar Holdings Ltd.,"Can water consumption be minimized by using an air-cooled water supply system/air
cooled condensor?",Present  2x220 MWe BSR are not designed with air cooled condensor.
46,46,M/s ACME Solar Holdings Ltd.,"The current land requirement is a 1 km radius, equating to 314 hectares. Can this be reduced to a 0.5 km radius, approximately 87 hectares, as suggested in the RFS? What timeline is feasible for achieving this?","Current requirement of EZ as per AERB siting code (AERB/NF/SC/S Rev1) is 1 km.
A proposal for reduction of EZ to 0.5 km have been submitted and is
under review in AERB."
"Overall
Query no.",Query no.,Name of Company,Description of the query,Response from NPCIL
47,47,M/s ACME Solar Holdings Ltd.,"Please provide estimate of the costs incurred in following activities (In INR with suitable units) as listed below (for next 27 Query i.e. from Sr No 47 to 73)
Preliminary site evaluation study of land",Site Evaluation studies as per AERB codes/guides are in scope of USER
48,48,M/s ACME Solar Holdings Ltd.,"Pre-project activities (Site suitability including seismic zone, distance to active fault,
screening distance values, availability of cooling water etc.)",Site Evaluation studies as per AERB codes/guides are in scope of USER
49,49,M/s ACME Solar Holdings Ltd.,"Reclassification of land for setting up NPP; Permission to sub-lease the land for 99 years
or more",This is in the scope of USER
50,50,M/s ACME Solar Holdings Ltd.,Agreement-1 signing,Query not clear
51,51,M/s ACME Solar Holdings Ltd.,Detailed site evaluation studies,Site Evaluation studies as per AERB codes/guides are in scope of USER
52,52,M/s ACME Solar Holdings Ltd.,Approach DAE site selection committee for approval,Query not clear
53,53,M/s ACME Solar Holdings Ltd.,Approach MoEFCC and other statutory agencies for clearances,Query not clear
54,54,M/s ACME Solar Holdings Ltd.,Expected project construction cost,"Completion cost of earlier completed similar plants is provided in RFP Annexure-4.
Relevant documents (e.g. BOQ) for estimation of project cost by
USERs will be shared to USERs are signing NDA."
55,55,M/s ACME Solar Holdings Ltd.,Commissioning activities,Project execution is in scope of USER
56,56,M/s ACME Solar Holdings Ltd.,Contingent CAPEX charges including,"Relevant documents (e.g. BOQ) for estimation of project cost by
USERs will be shared to USERs are signing NDA."
57,57,M/s ACME Solar Holdings Ltd.,En-masse Coolant Channel Replacement (EMCCR) in 20-25th year,"Relevant documents (e.g. BOQ) for estimation of project cost by
USERs will be shared to USERs are signing NDA."
58,58,M/s ACME Solar Holdings Ltd.,En-masse Feeder Replacement (EMFR) in 20-25th year,"Relevant documents (e.g. BOQ) for estimation of project cost by
USERs will be shared to USERs are signing NDA."
59,59,M/s ACME Solar Holdings Ltd.,"Construction, operation and maintenance of spent fuel management facilities within the plant (Life 10 years) including Away-from-Reactor (AFR) (Life another 25 years)",Relevant documents (e.g. BOQ) for estimation of project cost by USERs will be shared to USERs are signing NDA.
60,60,M/s ACME Solar Holdings Ltd.,"Construction, operation of waste management and D2O upgradation facilities","Relevant documents (e.g. BOQ) for estimation of project cost by
USERs will be shared to USERs are signing NDA."
61,61,M/s ACME Solar Holdings Ltd.,"Provide the township with appropriate accommodation with suitable amenities, transportation, medical, schooling and other allied facilities including training & security establishments, neighbourhood development, etc. as agreed by the USER & NPCIL.",Relevant documents (e.g. BOQ) for estimation of project cost by USERs will be shared to USERs are signing NDA.
62,62,M/s ACME Solar Holdings Ltd.,"Capital unit outage (biennial shutdown)- 35-40 days for surveillance, inspection and
overhauling","Relevant documents (e.g. BOQ) for estimation of project cost by
USERs will be shared to USERs are signing NDA."
63,63,M/s ACME Solar Holdings Ltd.,"Environmental Survey Laboratory (“ESL”) be set-up near township, to monitor the environment around the plant, from radiological consideration. Sophisticated equipment and qualified manpower from the Bhabha Atomic Research Centre (“BARC”)",Relevant documents (e.g. BOQ) for estimation of project cost by USERs will be shared to USERs are signing NDA.
64,64,M/s ACME Solar Holdings Ltd.,Six numbers of Micro Earthquake stations (“MEQ”) are required to be set-up in a radius of 30 km around the site to monitor the seismic activity around the site,Relevant documents (e.g. BOQ) for estimation of project cost by USERs will be shared to USERs are signing NDA.
65,65,M/s ACME Solar Holdings Ltd.,Decommissioning activities.,"Relevant documents (e.g. BOQ) for estimation of project cost by
USERs will be shared to USERs are signing NDA."
66,66,M/s ACME Solar Holdings Ltd.,Decommissioning Levy (As notified by DAE from time to time),RFP terms & conditions shall prevail.
67,67,M/s ACME Solar Holdings Ltd.,"Fuel Charges
•Through Annual Fuel Recovery Charge (“AFRC”), so that present value of charges over period of fifteen years at discount rate of 12% shall be equal to value of initial half charge of fuel
•Shall be refixed for the half core of the fuel , whenever fresh fuel is loaded, say after
EMCCR or/and EMFR",Relevant information will be shared on signing of NDA.
68,68,M/s ACME Solar Holdings Ltd.,"Heavy water Lease charges
•On the heavy water inventory held by the plant, will be payable at the rate notified by the DAE, from time to time.",Relevant information will be shared on signing of NDA.
69,69,M/s ACME Solar Holdings Ltd.,"O&M expenditures (including manpower expenses such as salaries and administrative
expenditure)",Relevant information will be shared on signing of NDA.
70,70,M/s ACME Solar Holdings Ltd.,"Levies on nuclear power , as determined from time to time, by DAE or any other
competent authority",Relevant information will be shared on signing of NDA.
71,71,M/s ACME Solar Holdings Ltd.,Insurance charges,Depends on the Insurance poilcy
72,72,M/s ACME Solar Holdings Ltd.,Water charges/cess,Arrangement of water requirements is in scope of USER
73,73,M/s ACME Solar Holdings Ltd.,"Any taxes other than Income Tax (that are payable by NPCIL with respect to NPP/BSR
as levied by competent authority from time to time)",RFP terms & conditions shall prevail.
74,74,M/s ACME Solar Holdings Ltd.,"We kindly request that the minimum requirement of 2500 MUs for meeting the QR be
amended or withdrawn, as the USER will be bearing all expenses related to project development, construction, and operations. The USER’s intent and financial commitment should be considered sufficient assurance of its commitment to the project.
Additionally, we request NPCIL to incorporate provisions allowing the USER to enter into agreements with other Commercial & Industrial (C&I) consumers for captive energy supply, in compliance with the applicable regulatory framework i.e. the successful USER be permitted to bring in other consumers who would:
•Invest 26% equity in the company, and Offtake 51% of the electricity.
It will ensure compliance with captive power plant regulations as well and the energy generated will be utilized optimally.
We request you to kindly accept.",Refer Annexure-3 and Corrigendum-IV of RFP
75,75,M/s ACME Solar Holdings Ltd.,"As per the current provisions, the USER is allowed to demonstrate and qualify based only on the net worth criteria for FY 2023-24.
We kindly request you to kindly allow the USER to demonstrate compliance with the net worth requirements based on either of the following criteria:
1.The net worth as of the last date of the previous financial year (i.e., FY 2023-24), OR
2.The net worth as of a date at least seven days prior to the bid submission deadline.
Alternatively, we request your good office to consider revising the net worth requirement to Rs. 1 Cr/MWe based on the preceding financial year (2023-24).
Such a revision would encourage broader participation and enable more bidders to meet the eligibility criteria, thereby fostering more participant from interested USERs and enhanced project feasibility.",Refer Annexure-3 and Corrigendum-IV of RFP
76,76,M/s ACME Solar Holdings Ltd.,"We kindly request confirmation on the following points:
1.Is the USER required to submit land details at the time of bid submission?
2.If the USER has identified the land and conducted a preliminary study, but the land is yet to be acquired or leased, kindly confirm if this will be acceptable.
3.In case land details need to be furnished, please specify the required documentary evidence to be submitted along with the RFP response.
4.Will there be any penalties imposed on the USER in case of delays in land identification and acquisition process?
5.Is the USER required to submit a detailed evaluation study of the land, or will a desktop study suffice at this stage of RFP response submission, with a detailed study to be submitted later?
6.Is the USER allowed to substitute or change the land parcel details after submitting the RFP response to NPCIL?
7.Will subleasing of land be permitted between the holding company and the project company?
8.Can the bidder participate through a Joint Venture (JV) company, wherein the JV consists of the project company and another entity holding the land?",Refe RFP checklist and Qualification requirements of RFP
77,77,M/s ACME Solar Holdings Ltd.,"We kindly request your office to incorporate provisions allowing EMD submission in the form of Bank Guarantee (BG), Insurance Surety Bond, and Payment on Order Instruments (IREDA/PFC/REC), as practiced by other tendering agencies. This will enable the USER to optimize its BG limits without directly engaging funds.
Additionally, we request consideration for returning the EMD within 15 days from the date of declaration of results, instead of the current 30-day timeline.","1) Earnest Money Deposit (EMD) in the form of Online Payment/Bank Guarantee /Insurance Surety Bond will be accepted. Refer Corrigendum-V to RFP for Format of Bank Guarantee in lieu of EMD.
2) RFP Terms and Conditions shall prevail."
78,78,M/s ACME Solar Holdings Ltd.,"As you are aware, nuclear power has been recognized as a clean fuel in our country. However, in current applications such as Green Hydrogen, Green Ammonia, and Green Steel, projects are only recognized under the green category when powered by Renewable Energy.
Given that nuclear power is an emission-free energy source, its exclusion from the green category limits its potential role in supporting these industries.
Therefore, we kindly request NPCIL to take up this matter with the concerned authorities/ministries to formally recognize nuclear power as Green Energy. This will encourage more developers to adopt nuclear power for Green Hydrogen & Ammonia plants and other purposes, aligning with the government's existing policy support.
Additionally, we suggest considering the development of a dedicated Nuclear Power Zone, where energy is generated by a nuclear power plant and utilized within the zone itself for manufacturing sector operations post green categorization. This would:
1.Reduce transmission constraints for the USER,
2.Ensure RTC (Round-The-Clock) Green Power availability for operations, and
3.Improve overall efficiency and utilization.
The support of NPCIL in this initiative is crucial for both the development of project under this RFP and the broader energy transition, as nuclear power will play a vital role in advancing green energy, enabling Round-The-Clock (RTC) green operations, and promoting the adoption of clean and sustainable energy methods, contributing to a safer and more resilient environment.",Not relevant to RFP
79,79,M/s ACME Solar Holdings Ltd.,"Can the bidder demonstrate net worth by adding the standalone net worth of both the
USER and its controlling entity/parent entity?",Refer Annexure-3 and Corrigendum-IV of RFP
80,80,M/s ACME Solar Holdings Ltd.,"Does the term ""sum total of the net worth of the USER or its controlling entity"" refer to consolidated financial statements of the USER or its controlling entity, OR can standalone financial statements be combined to meet the net worth criteria?",Refer Annexure-3 and Corrigendum-IV of RFP
81,1,M/s Adani Energy Solutions Limited,"Request to provide firm cost/price of fuel including future escalation if any or capped fuel cost.
In absence of visibility on fuel cost the financing of the NPP will become difficult.",Relevant information will be shared on signing of NDA.
82,2,M/s Adani Energy Solutions Limited,"Request to consider removing expertise fees. Instead, NPCIL may propose to charge a nominal consultancy fees during the time of construction and later charge 5 paise for liability during the NPP operations period else charge incentive against availability beyond 90%
Expertise fees is not desirable since O&M is separately paid plus risk of sale of power at a viable price is with USER. Without proposed expertise fees, project becomes unviable.",O&M exp is on reimbursable basis including manpower cost. Expert fee is for NPCIL expertise deployed for BSR.
83,3,M/s Adani Energy Solutions Limited,It is requested that the civil nuclear liability/insurance cost to be managed by NPCIL NPCIL is well-equipped to handle the complexities of nuclear liability and insurance,Expenses to be borne by user.
84,4,M/s Adani Energy Solutions Limited,"1. Once the investment is made, the developer should have the freedom to sale/use/supply of electricity generated as per the Electricity Act 2003 incuding captive rules, and no approval by Department of Atomic Energy (DAE) on this aspect.
2. Electricity tariff determination shall be complete prerogative of the USER without any role of DAE.
Since investment is made by the developer including associated risk. Hence, USER should have freedom on the use of or right on electricity without any need of DAE to determine tariff.","May be taken up with DAE, DAE being fuel supplier."
85,5,M/s Adani Energy Solutions Limited,"Change requests: It is requested to provide details of asset transfer aggrement and clearity on the ownership of the asset (Nuclear Power Plant) after transfer.
Also please clarify whether the entire asset after transfer will be recorded in the books of USER or NPCIL?
Also please share the complete structure, bankability & lenders prespective.
Rationale: If the ownership of the asset does not remain with the USER after the transfer, it will be challenging on the USER's part to secure financing","Assets of NPP, for purpose of operation, will get transferred to NPCIL. However, beneficial ownership i.e. right over electricity generated and available after auxiliary consumption, will remain with the USER."
86,6,M/s Adani Energy Solutions Limited,"Change requests: Since 220 MW BSR is well tested, it is requested to share the final design with the USERs. It is also requested once the design is finalzed and shared there should not be any change during the course of the project execution.
Rationale: The standardization of design including safety aspects which has been well tested and approved by AERB will help in faster execution of the project without intermediate approvals",All relevant documents required for project execution will be shared with the qualified USER at appropriate time.
87,7,M/s Adani Energy Solutions Limited,"Change requests: Nuclear Island primarily reactor which requires safety approvals especially around radiation material should only be kept under the purview or/and various approvals of AERB /DAE/ NPCIL during the construction. Rest all should be allowed to be done by user as extablished standards / certifications.
Rationale: Nuclear reactor critical parts need approvals while rest are well established technologies  and not related to safety. For instance, Turbine Generator is well established standardized technology.",This aspect is based on the regulatory requirements stipulated by AERB
88,8,M/s Adani Energy Solutions Limited,"Change request: There are number of private players expected to participate in this RFP and therefore in NPP development, which will lead to higher number of manpower for appovals and O&M pf plant. It is requested that the approvals and inspections should be only for critical/final stages of construction & manufacturing only and that too limited to nuclear reactor components. Rest of the activities during construction can be carried out thorugh independent agencies. Similarly for O&M while for non-nuclear island it should be completely left to USER, even for nuclear island USER staff coule also be utilized.
Rationale: If 6 - 12 new reactors are constructed by private players then the required manpower for approvals related to nuclear island construction is not available.
We understand through various discussions that sufficient manpower for existing NPP is not available.
It could be win-win situation if USER manpower could also be trained and utilized for O&M.",Not relevant to RFP
89,9,M/s Adani Energy Solutions Limited,"Change request: : 1. Request to provide the latest capex estimates along with break up of capex estimates.
2. Multiple packages should be allowed during tender solicitation including separate package for nuclear island and power island, BOP, etc. :
Rationale: Capex guidance in the RFP are for plants commissioned in 2010. The recent figure along of list of possible vendors for reactor, will help estimate the project risk, assist in securing debt for the project and enable to create robust execution timeline.",Cost to be estimated by USER. Procurement and project execution is in scope of USER.
90,10,M/s Adani Energy Solutions Limited,"Change request:  1. OPEX details provided are significantly high and shall be
benchmarked to the opex of newly commissioined NPPs and/or benchmarked with global best new plants. It will be efficient to consider historical costs for new plants. This is a established principle. For instance, thermal power plants OPEX over the years have reduced significantly and specially for new facilities.
2. USER to be allowed for sharing of spares for operations & maintainance wih NPCIL operating nuclear power plant units :
Rationale: The opex of thermal power plants are in the range 20-22Cr/MW and same has reduced over the period of time. It is also noted that Opex of NPPs in a report by Danish Energy Agency & CEA is around 43 Lac/MW and is likely to reduce further.
Hence, Opex of 47.47lac/MW (2017-18) as given in RFP is significantly on higher side
and makes the overall project unviable.","O&M expenditure as indicated in RFP are the actual expenditure data of similar operating plants.
Sharing of spares for operations & maintainance with NPCIL operating nuclear power plant units is not envisaged at this stage."
91,11,M/s Adani Energy Solutions Limited,"Change request: Please provide approved list of contractors or/and supplier, QA service provider, or/and USERs
Rationale: Required for discussion with each vendor to understand and assess the overall project and its cost etc.",Relevant documents will shared after signing NDA
92,12,M/s Adani Energy Solutions Limited,"Change request: A governance committee shall be formed with members from USER team, NPCIL, etc. for project monitoring and governance.
Rationale: To expedite project approvals and ensure timely execution.",Appropriate methodology for efficient project execution  will be decided between qualified User and NPCIL.
